iter	Passed	Remaining
0	1	988
1	3	906
2	5	885
3	7	905
4	9	898
5	10	902
6	12	892
7	14	883
8	16	882
9	17	867
10	19	863
11	21	867
12	23	872
13	25	890
14	27	883
15	28	873
16	30	863
17	31	855
18	33	850
19	35	842
20	37	844
21	39	851
22	40	846
23	42	851
24	44	849
25	46	846
26	48	843
27	49	835
28	52	844
29	54	850
30	55	847
31	57	847
32	59	846
33	61	838
34	62	835
35	64	830
36	66	832
37	68	832
38	71	842
39	73	848
40	76	853
41	78	852
42	80	852
43	82	850
44	84	849
45	85	845
46	87	840
47	89	842
48	91	837
49	92	834
50	95	838
51	97	840
52	99	842
53	101	840
54	103	837
55	105	833
56	106	829
57	108	824
58	109	820
59	111	816
60	113	813
61	114	811
62	116	807
63	117	803
64	119	801
65	121	799
66	123	796
67	124	791
68	126	788
69	127	786
70	129	784
71	131	781
72	133	779
73	134	775
74	136	772
75	138	770
76	139	767
77	141	765
78	142	761
79	144	757
80	145	754
81	147	752
82	149	750
83	150	746
84	152	744
85	154	741
86	155	739
87	157	738
88	159	737
89	161	736
90	163	736
91	165	733
92	167	731
93	168	728
94	170	725
95	171	723
96	173	721
97	175	719
98	176	716
99	178	713
100	180	711
101	181	708
102	183	706
103	184	703
104	186	701
105	187	698
106	189	696
107	191	694
108	192	692
109	194	689
110	196	688
111	197	685
112	199	683
113	201	681
114	202	679
115	204	677
116	206	674
117	207	672
118	209	670
119	210	667
120	212	665
121	213	662
122	215	660
123	217	658
124	218	656
125	220	654
126	222	653
127	224	651
128	225	648
129	227	647
130	229	647
131	231	646
132	233	644
133	235	642
134	236	640
135	238	637
136	239	635
137	241	633
138	243	632
139	245	630
140	247	628
141	248	626
142	250	624
143	251	622
144	253	620
145	255	619
146	257	617
147	258	615
148	260	613
149	262	611
150	263	609
151	265	607
152	267	606
153	268	603
154	270	601
155	272	600
156	273	598
157	275	596
158	277	594
159	278	592
160	280	590
161	282	588
162	283	586
163	285	585
164	287	583
165	289	581
166	290	580
167	292	578
168	294	576
169	295	574
170	297	572
171	299	570
172	300	568
173	302	566
174	304	564
175	305	562
176	306	560
177	308	558
178	310	555
179	311	554
180	313	552
181	315	550
182	316	548
183	318	547
184	320	545
185	322	544
186	324	542
187	325	540
188	327	538
189	328	536
190	330	534
191	332	532
192	333	531
193	335	529
194	337	527
195	338	525
196	340	523
197	341	521
198	343	519
199	344	517
200	346	515
201	348	513
202	349	511
203	351	509
204	352	507
205	354	506
206	356	504
207	357	502
208	359	500
209	360	498
210	362	496
211	364	494
212	365	492
213	367	491
214	369	489
215	370	487
216	372	485
217	373	483
218	375	481
219	377	479
220	378	478
221	380	476
222	382	474
223	384	474
224	389	475
225	390	473
226	392	472
227	394	470
228	396	469
229	398	467
230	399	465
231	401	463
232	403	461
233	404	460
234	406	458
235	408	457
236	410	455
237	412	453
238	413	451
239	415	450
240	417	448
241	418	446
242	420	444
243	422	443
244	424	441
245	425	439
246	427	437
247	428	435
248	430	434
249	432	432
250	433	430
251	435	428
252	437	426
253	438	425
254	440	423
255	442	421
256	443	419
257	445	418
258	447	416
259	448	414
260	450	412
261	452	411
262	454	409
263	456	407
264	457	405
265	459	404
266	461	402
267	463	401
268	464	399
269	466	397
270	467	395
271	469	393
272	471	392
273	473	390
274	475	388
275	476	387
276	478	385
277	480	383
278	481	381
279	483	379
280	484	377
281	486	375
282	487	374
283	489	372
284	491	370
285	493	368
286	494	367
287	496	365
288	498	363
289	500	362
290	501	360
291	503	358
292	505	357
293	506	355
294	509	353
295	510	352
296	512	350
297	514	348
298	515	346
299	517	344
300	519	343
301	521	341
302	522	339
303	524	338
304	526	336
305	527	334
306	529	332
307	530	330
308	532	329
309	534	327
310	536	325
311	538	324
312	540	322
313	542	321
314	543	319
315	545	317
316	546	315
317	548	313
318	550	312
319	551	310
320	553	308
321	555	307
322	557	305
323	558	303
324	560	301
325	562	300
326	563	298
327	565	296
328	580	301
329	582	299
330	583	298
331	585	296
332	587	294
333	588	292
334	590	290
335	591	288
336	594	287
337	595	285
338	597	283
339	599	282
340	601	280
341	603	278
342	604	276
343	606	275
344	608	273
345	610	271
346	611	269
347	613	268
348	615	266
349	616	264
350	618	262
351	620	260
352	621	258
353	623	257
354	624	255
355	626	253
356	628	251
357	629	249
358	631	248
359	633	246
360	635	244
361	636	242
362	638	240
363	639	239
364	641	237
365	643	235
366	645	233
367	647	232
368	648	230
369	650	228
370	651	226
371	653	224
372	657	223
373	659	222
374	661	220
375	662	218
376	664	216
377	666	214
378	667	213
379	669	211
380	671	209
381	673	207
382	675	206
383	677	204
384	678	202
385	680	200
386	681	199
387	683	197
388	684	195
389	686	193
390	688	191
391	690	190
392	692	188
393	694	186
394	696	185
395	697	183
396	699	181
397	700	179
398	702	177
399	704	176
400	706	174
401	707	172
402	709	170
403	711	168
404	712	167
405	714	165
406	715	163
407	717	161
408	719	160
409	721	158
410	723	156
411	724	154
412	726	152
413	727	151
414	729	149
415	731	147
416	733	146
417	735	144
418	737	142
419	738	140
420	740	138
421	741	137
422	743	135
423	744	133
424	747	131
425	749	130
426	751	128
427	752	126
428	754	124
429	755	123
430	757	121
431	758	119
432	760	117
433	763	116
434	765	114
435	767	112
436	769	110
437	770	109
438	772	107
439	773	105
440	775	103
441	777	102
442	780	100
443	781	98
444	783	96
445	784	95
446	786	93
447	787	91
448	789	89
449	790	87
450	792	86
451	794	84
452	796	82
453	797	80
454	799	79
455	801	77
456	803	75
457	804	73
458	807	72
459	808	70
460	810	68
461	812	66
462	813	65
463	815	63
464	817	61
465	819	59
466	820	57
467	822	56
468	824	54
469	826	52
470	827	50
471	829	49
472	831	47
473	832	45
474	834	43
475	835	42
476	837	40
477	839	38
478	841	36
479	842	35
480	845	33
481	847	31
482	848	29
483	850	28
484	854	26
485	856	24
486	858	22
487	860	21
488	861	19
489	866	17
490	870	15
491	872	14
492	874	12
493	876	10
494	879	8
495	881	7
496	884	5
497	887	3
498	889	1
499	890	0
